NAME,SYMBOL,PRICE,QUANTITY,MARKET_CAP,MARKET_CAP_PERCENTAGE
JOHN KEELLS HOLDINGS PLC,JKH.N0000,154.8,1359773776,210492980524.8,8.24605195547918499036555512863
CEYLON TOBACCO COMPANY PLC,CTC.N0000,850.5,187323751,159318850225.5,6.24130796747350551183589041981
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,148.4,832923427,123605836566.8,4.84225244846211785659297991162
NESTLE LANKA PLC,NEST.N0000,2050,53725463,110137199150,4.31461925313397979789572734713
DIALOG AXIATA PLC,DIAL.N0000,11.5,8143778405,93653451657.5,3.66886927180317652351348287697
HATTON NATIONAL BANK PLC,HNB.N0000,228,330367181,75323717268,2.95080284636177092415484353672
SRI LANKA TELECOM PLC,SLTL.N0000,37.1,1804860000,66960306000,2.62316662937712581430681914391
HEMAS HOLDINGS PLC,HHL.N0000,107.4,572545133,61491347284.2,2.40892044596321279325063623321
CEYLON COLD STORES PLC,CCS.N0000,633,95040000,60160320000,2.35677751885795279473422385316
SAMPATH BANK PLC,SAMP.N0000,268.1,176981069,47448624598.9,1.85879748903293678642535971063
CARGILLS (CEYLON) PLC,CARG.N0000,184,224000000,41216000000,1.61463473294772006511544104705
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,169,240000000,40560000000,1.58893596584723228457594839063
LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,82,475200000,38966400000,1.52650676576897416404586379114
CARSON CUMBERBATCH PLC,CARS.N0000,185.6,196386914,36449411238.4,1.42790385726454800322874458205
DFCC BANK PLC,DFCC.N0000,127.1,265097688,33693916144.8,1.31995747516551876932123608237
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,29.1,1137533596,33102227643.6,1.29677810780519028661342062919
TEEJAY LANKA PLC,TJL.N0000,47,698592840,32833863480,1.28626495515507809091753449580
LION BREWERY CEYLON PLC,LION.N0000,409.8,80000000,32784000000,1.28431155582681615427854763409
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,18.7,1579862482,29543428413.4,1.15736232644192047041151055853
AITKEN SPENCE PLC,SPEN.N0000,71.1,405996045,28866318799.5,1.13083659127558311738900475626
CEYLINCO INSURANCE PLC,CINS.N0000,1398.8,20000000,27976000000,1.09595839695616790910494901815
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,165,165185506,27255608490,1.06773709568077352806928784530
ACCESS ENGINEERING PLC,AEL.N0000,26.7,1000000000,26700000000,1.04597116094973131159215537549
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,60,442775300,26566518000,1.04074201029407992451597769445
