NAME,SYMBOL,PRICE,QUANTITY,MARKET_CAP,MARKET_CAP_PERCENTAGE
JOHN KEELLS HOLDINGS PLC,JKH.N0000,157.5,1359554913,214129898797.5,8.31456233873743907455719802852
CEYLON TOBACCO COMPANY PLC,CTC.N0000,865,187323751,162035044615,6.29174387639158143994648377203
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,148.5,832901148,123685820478,4.80266170468215515177205809513
NESTLE LANKA PLC,NEST.N0000,2013,53725463,108149357019,4.19938820257521824730104161680
DIALOG AXIATA PLC,DIAL.N0000,11.6,8143778405,94467829498,3.66814098254041143525157880378
HATTON NATIONAL BANK PLC,HNB.N0000,229.1,330367181,75687121167.1,2.93889499185983897148703240966
SRI LANKA TELECOM PLC,SLTL.N0000,37.8,1804860000,68223708000,2.64909420090961565238760831435
HEMAS HOLDINGS PLC,HHL.N0000,107,572545133,61262329231,2.37878716735914931170613757579
CEYLON COLD STORES PLC,CCS.N0000,641.7,95040000,60987168000,2.36810278735803223430178654883
SAMPATH BANK PLC,SAMP.N0000,268.1,176981069,47448624598.9,1.84240757283499348935157765658
CARGILLS (CEYLON) PLC,CARG.N0000,184,224000000,41216000000,1.60039771782399629654852041001
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,169.8,240000000,40752000000,1.58238081805035658668830802961
LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,82.6,475200000,39251520000,1.52411789181684169045759364916
CARSON CUMBERBATCH PLC,CARS.N0000,185.6,196386914,36449411238.4,1.41531333855696046692099230792
DFCC BANK PLC,DFCC.N0000,128.9,265097688,34171091983.2,1.32684728322659005234801134540
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,29.5,1137533596,33557241082,1.30301174408245468186999863909
TEEJAY LANKA PLC,TJL.N0000,47,698592840,32833863480,1.27492333513045072469186030517
LION BREWERY CEYLON PLC,LION.N0000,405.1,80000000,32408000000,1.25838725832783559730552332704
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,18.8,1579862482,29701414661.6,1.15329183425293146473724586523
AITKEN SPENCE PLC,SPEN.N0000,72.5,405996045,29434713262.5,1.14293594550923710284277020301
CEYLINCO INSURANCE PLC,CINS.N0000,1398.8,20000000,27976000000,1.08629480186927698933039127985
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,62,442775300,27452068600,1.06595079427862454044535921787
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,166,165185506,27420793996,1.06473641624903774828037422315
ACCESS ENGINEERING PLC,AEL.N0000,27.1,1000000000,27100000000,1.05228013764145719226671445825
BUKIT DARAH PLC,BUKI.N0000,264.9,102000000,27019800000,1.04916600970644446655380705974
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,113.3,216758888,24558782010.4,0.95360584923285072984064505667
VALLIBEL ONE PLC,VONE.N0000,22,1086559353,23904305766,0.92819284729409442072853848834
