NAME,SYMBOL,PRICE,QUANTITY,MARKET_CAP,MARKET_CAP_PERCENTAGE
JOHN KEELLS HOLDINGS PLC,JKH.N0000,152.7,1359773776,207637455595.2,8.16672976354243436749836135469
CEYLON TOBACCO COMPANY PLC,CTC.N0000,850,187323751,159225188350,6.26259400586517072794737388657
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,147.7,832923427,123022790167.9,4.83869289949751345584248494891
NESTLE LANKA PLC,NEST.N0000,2100,53725463,112823472300,4.43753660252382503876209968728
DIALOG AXIATA PLC,DIAL.N0000,11.4,8143778405,92839073817,3.65151665525675175727442541378
HATTON NATIONAL BANK PLC,HNB.N0000,228,330367181,75323717268,2.96260827291437557053112907569
SRI LANKA TELECOM PLC,SLTL.N0000,36.9,1804860000,66599334000,2.61946363025302374702821501102
HEMAS HOLDINGS PLC,HHL.N0000,107,572545133,61262329231,2.40955027155663737754049861597
CEYLON COLD STORES PLC,CCS.N0000,616.3,95040000,58573152000,2.30378041578136739917388942852
SAMPATH BANK PLC,SAMP.N0000,265,176981069,46899983285,1.84465509031264838258489720693
CARGILLS (CEYLON) PLC,CARG.N0000,181.3,224000000,40611200000,1.59730668449224429174190008350
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,168,240000000,40320000000,1.58585329955104231943487046348
LANKA ORIX LEASING COMPANY PLC,LOLC.N0000,81.1,475200000,38538720000,1.51579256628159091410840850765
CARSON CUMBERBATCH PLC,CARS.N0000,185.6,196386914,36449411238.4,1.43361654462077092243163120557
DFCC BANK PLC,DFCC.N0000,127.1,265097688,33693916144.8,1.32523829595801625492248563298
LION BREWERY CEYLON PLC,LION.N0000,413.9,80000000,33112000000,1.30235055691304844447240651753
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,29.1,1137533596,33102227643.6,1.30196619372749961645809599668
TEEJAY LANKA PLC,TJL.N0000,46.9,698592840,32764004196,1.28866329763717250669984296166
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,18.6,1579862482,29385442165.2,1.15577878016985975206178199288
AITKEN SPENCE PLC,SPEN.N0000,71.8,405996045,29150516031,1.14653874085756210901402813259
CEYLINCO INSURANCE PLC,CINS.N0000,1362.4,20000000,27248000000,1.07170959092675598015777158703
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,163.4,165185506,26991311680.4,1.06161360832274128552969065149
ASIAN HOTELS & PROPERTIES PLC,AHPL.N0000,60,442775300,26566518000,1.04490575962009319687570029751
BUKIT DARAH PLC,BUKI.N0000,260.1,102000000,26530200000,1.04347731170012556902457838220
ACCESS ENGINEERING PLC,AEL.N0000,26.5,1000000000,26500000000,1.04228949499262454030317627188
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,112,216758888,24276995456,0.95485499372726342333789808358
VALLIBEL ONE PLC,VONE.N0000,21.2,1086559353,23035058283.6,0.90600751945430628822699330706
COMMERCIAL LEASING & FINANCE PLC,CLC.N0000,3.6,6377711170,22959760212,0.90304591986857487373236441450
C T HOLDINGS PLC,CTHR.N0000,124,183097253,22704059372,0.89298877649526204774141588517
HAYLEYS PLC,HAYL.N0000,280.1,75000000,21007500000,0.82626024777575698227996134081
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,65.8,318074365,20929293217,0.82318424368677329269415133097
NATIONS TRUST BANK PLC,NTB.N0000,82,230607283,18909797206,0.74375407472659179331441649279
TRANS ASIA HOTELS PLC,TRAN.N0000,94,200000000,18800000000,0.73943556625891854179998920420
LANKA IOC PLC,LIOC.N0000,35,532465705,18636299675,0.73299695761460237161694748517
UNION BANK OF COLOMBO PLC,UBC.N0000,16.8,1091406249,18335624983.2,0.72117091713636520078944657181
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,20.6,887878273,18290292423.8,0.71938791145924259118434500833
L B FINANCE PLC,LFIN.N0000,127.3,138514284,17632868353.2,0.69353031891050034430647452143
JOHN KEELLS HOTELS PLC,KHL.N0000,12,1456146780,17473761360,0.68727237371834098782405298962
