ID,SYMBOL,NAME,LAST_TRADE_QUANTITY,TRADE_DATE,PRICE,SHAREVOLUME,TRADEVOLUME,TURNOVER,HI_TRADE,LO_TRADE,CHANGE,CHANGE_PERCENTAGE,ISSUE_DATE,CLOSING_PRICE,PREVIOUS_CLOSE,MARKET_CAP,OPEN
2025,AAF.N0000,ASIA ASSET FINANCE PLC,5000,2016-10-12,1.6,1797227,22,2875563.2,1.6,1.6,0,0,12/JAN/2012,1.6,1.6,1342732532.8,1.6
118,AAIC.N0000,ASIAN ALLIANCE INSURANCE PLC,141,2016-10-12,22.1,102125,15,2327790.8,22.8,22.0,-1,-4.329004329004329004329,24/NOV/2000,22.1,23.1,8287500000,22.7
204,ABAN.N0000,ABANS ELECTRICALS PLC,10,2016-10-12,120,20,2,2341.0,117.1,117.0,0,0,01/JAN/1984,120.0,120.0,613267200,117.1
3046,ABL.N0000,AMANA BANK PLC,6550,2016-10-12,4,36654,7,146606.0,4.0,3.9,0,0,29/JAN/2014,4.0,4.0,5002781068,4.0
472,ACL.N0000,ACL CABLES PLC,1000,2016-10-12,62.9,16250,25,1023736.2,64.0,62.7,-1.1,-1.71875,01/JAN/1976,62.9,64.0,7534624944,63.5
554,ACME.N0000,ACME PRINTING & PACKAGING PLC,10000,2016-10-12,7.2,10020,2,72144.0,7.2,7.2,0,0,01/JAN/1956,7.2,7.2,296365773.6,7.2
2065,AEL.N0000,ACCESS ENGINEERING PLC,2500,2016-10-12,26.7,281570,95,7524436.3,26.9,26.6,-0.3,-1.111111111111111111111,27/MAR/2012,26.7,27.0,26700000000,26.8
1845,AFSL.N0000,ABANS FINANCE PLC,1,2016-10-12,45.9,155,4,7106.9,45.9,45.0,0.7,1.5486725663716814159292,27/JUN/2011,45.9,45.2,2037960000,45.0
163,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,50,2016-10-12,19.1,1411,4,26950.1,19.1,19.1,-0.9,-4.5,22/JAN/1996,19.1,20.0,477500000,19.1
2026,AGST.N0000,AGSTAR PLC,1,2016-10-12,5.6,1,1,5.6,5.6,5.6,0,0,16/FEB/2012,5.6,5.6,1722147336,5.6
