ID,SYMBOL,NAME,LAST_TRADE_QUANTITY,TRADE_DATE,PRICE,SHAREVOLUME,TRADEVOLUME,TURNOVER,HI_TRADE,LO_TRADE,CHANGE,CHANGE_PERCENTAGE,ISSUE_DATE,CLOSING_PRICE,PREVIOUS_CLOSE,MARKET_CAP,OPEN
2025,AAF.N0000,ASIA ASSET FINANCE PLC,98,2016-10-10,1.7,3874730,29,6201467.8,1.7,1.6,0.1,6.25,12/JAN/2012,1.7,1.6,1426653316.1,1.6
118,AAIC.N0000,ASIAN ALLIANCE INSURANCE PLC,200,2016-10-10,23.5,210,2,4938.0,23.8,23.5,-0.4,-1.673640167364016736401,24/NOV/2000,23.5,23.9,8812500000,23.8
204,ABAN.N0000,ABANS ELECTRICALS PLC,1,2016-10-10,120,101,2,12120.0,120.0,120.0,-1,-0.826446280991735537190,01/JAN/1984,120.0,121.0,613267200,120.0
3046,ABL.N0000,AMANA BANK PLC,100,2016-10-10,3.9,40600,12,160037.0,4.0,3.9,-0.1,-2.5,29/JAN/2014,3.9,4.0,4877711541.3,4.0
160,ACAP.N0000,ASIA CAPITAL PLC,10,2016-10-10,9.6,10,1,101.0,10.1,10.1,0,0,22/SEP/1994,9.6,9.6,1260767952,10.1
472,ACL.N0000,ACL CABLES PLC,100,2016-10-10,63.6,2821,8,180435.6,64.3,63.6,-0.7,-1.088646967340590979782,01/JAN/1976,63.6,64.3,7618476096,64.3
2065,AEL.N0000,ACCESS ENGINEERING PLC,100,2016-10-10,27.1,484044,127,1.30860638E7,27.3,26.9,-0.1,-0.367647058823529411764,27/MAR/2012,27.1,27.2,27100000000,27.3
1845,AFSL.N0000,ABANS FINANCE PLC,58,2016-10-10,44.4,200,5,8870.0,44.6,44.1,-1.8,-3.896103896103896103896,27/JUN/2011,44.4,46.2,1971360000,44.6
163,AGAL.N0000,AGALAWATTE PLANTATIONS PLC,139,2016-10-10,20,982,6,19182.0,20.0,19.0,0,0,22/JAN/1996,20.0,20.0,500000000,19.0
2026,AGST.N0000,AGSTAR PLC,8000,2016-10-10,5.5,21102,24,116058.1,5.7,5.4,0,0,16/FEB/2012,5.5,5.5,1691394705,5.7
143,AHPL.N0000,ASIAN HOTELS & PROPERTIES PLC,487,2016-10-10,62,900,5,55757.7,62.0,61.8,1.9,3.1613976705490848585690,30/JAN/2004,62.0,60.1,27452068600,61.9
144,AHUN.N0000,AITKEN SPENCE HOTEL HOLDINGS PLC,105,2016-10-10,49.6,1730,3,86458.0,50.0,49.6,-0.1,-0.201207243460764587525,01/JAN/1980,49.6,49.7,16679984496,50.0
3244,AINS.N0000,ARPICO INSURANCE PLC,72,2016-10-10,12.8,800,3,10220.0,13.0,12.4,0.4,3.2258064516129032258064,16/JAN/2015,12.8,12.4,847749209.6,13.0
3125,AINV.N0000,ADAM INVESTMENTS PLC,1,2016-10-10,2.2,78465,3,172630.2,2.4,2.2,0,0,10/JUN/2014,2.2,2.2,988407640,2.3
2846,ALHP.N0000,ANILANA HOTELS AND PROPERTIES PLC,10,2016-10-10,2,1494392,40,2988784.2,2.1,2.0,0,0,17/JUL/2013,2.0,2.0,986617028,2.0
395,ALLI.N0000,ALLIANCE FINANCE COMPANY PLC,100,2016-10-10,1040,977,26,1015785.5,1040.0,1032.0,-0.1,-0.009614460148062686280,01/JAN/1959,1040.0,1040.1,2527200000,1040.0
151,ALUF.N0000,ALUFAB PLC,30,2016-10-10,45.5,2075,8,94289.5,45.5,45.2,-0.6,-1.301518438177874186550,01/JAN/1981,45.5,46.1,548648100,45.2
3082,ALUM.N0000,ALUMEX PLC,735,2016-10-10,20.4,237770,103,4868398.4,20.7,20.4,-0.4,-1.923076923076923076923,31/MAR/2014,20.4,20.8,6105777936,20.7
1844,AMF.N0000,ASSOCIATED MOTOR FINANCE COMPANY PLC,1,2016-10-10,450.2,1,1,450.0,450.0,450.0,0,0,23/JUN/2011,450.2,450.2,2524881421,450.0
240,AMSL.N0000,ASIRI  SURGICAL HOSPITAL PLC,250,2016-10-10,12.8,7600,12,98280.0,13.0,12.8,-0.1,-0.775193798449612403100,12/NOV/2004,12.8,12.9,6764256576,13.0
406,APLA.N0000,ACL PLASTICS PLC,969,2016-10-10,230,1561,8,358415.0,230.0,222.0,0,0,05/APR/1995,230.0,230.0,968875000,227.0
250,ASCO.N0000,ASCOT HOLDINGS  PLC,481,2016-10-10,33.1,2173,12,71510.4,34.0,32.5,0.1,0.3030303030303030303030,01/JAN/1969,33.1,33.0,418965070.5,34.0
225,ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,499,2016-10-10,29.5,2796,10,83290.4,29.9,29.4,0.2,0.6825938566552901023890,01/JUN/1986,29.5,29.3,33557241082,29.9
2209,ASIY.N0000,ASIA SIYAKA COMMODITIES PLC,110,2016-10-10,2.5,7910,2,19775.0,2.5,2.5,0,0,12/SEP/2012,2.5,2.5,650000000,2.5
364,ATL.N0000,AMANA TAKAFUL  PLC,6300,2016-10-10,0.8,12300,3,10340.0,0.9,0.8,-0.1,-11.11111111111111111111,27/NOV/2006,0.8,0.9,1440001036.8,0.8
3575,ATLL.N0000,AMANA TAKAFUL LIFE PLC,2000,2016-10-10,1.7,2106,8,3580.2,1.7,1.7,0,0,18/AUG/2016,1.7,1.7,850000000,1.7
306,AUTO.N0000,THE AUTODROME PLC,247,2016-10-10,75,788,7,59100.0,75.0,75.0,0.1,0.1335113484646194926568,01/JAN/1975,75.0,74.9,900000000,75.0
