ID,SYMBOL,NAME,LAST_TRADE_QUANTITY,TRADE_DATE,PRICE,SHAREVOLUME,TRADEVOLUME,TURNOVER,HI_TRADE,LO_TRADE,CHANGE,CHANGE_PERCENTAGE,ISSUE_DATE,CLOSING_PRICE,PREVIOUS_CLOSE,MARKET_CAP,OPEN
499,TRAN.N0000,TRANS ASIA HOTELS PLC,100,2016-10-13,94,105,2,9843.0,94.0,88.6,1,1.0752688172043010752688,01/JAN/1983,94.0,93.0,18800000000,88.6
484,TSML.N0000,TEA SMALLHOLDER FACTORIES PLC,3,2016-10-13,24.6,7076,16,173227.0,24.8,24.4,1.6,6.9565217391304347826086,01/AUG/1996,24.6,23.0,738000000,24.4
82,TYRE.N0000,KELANI TYRES PLC,15,2016-10-13,67.5,15,1,999.0,66.6,66.6,0,0,28/JAN/1994,67.5,67.5,5427000000,66.6
1790,UBC.N0000,UNION BANK OF COLOMBO PLC,71,2016-10-13,16.8,25071,23,421292.8,17.0,16.7,0.1,0.5988023952095808383233,29/MAR/2011,16.8,16.7,18335624983.2,16.8
278,UCAR.N0000,UNION CHEMICALS LANKA PLC,2,2016-10-13,515,5,3,2859.3,599.9,530.0,0,0,01/AUG/1988,515.0,515.0,772500000,530.0
561,UDPL.N0000,UDAPUSSELLAWA PLANTATIONS PLC,100,2016-10-13,18.1,400,3,7250.0,18.2,18.1,-0.3,-1.630434782608695652173,04/MAY/1998,18.1,18.4,351119185,18.2
262,UML.N0000,UNITED MOTORS LANKA PLC,1,2016-10-13,95,5001,3,475092.8,95.0,92.8,1.9,2.0408163265306122448979,05/DEC/1989,95.0,93.1,9585559470,95.0
1563,VFIN.N0000,VALLIBEL FINANCE PLC,9,2016-10-13,63,2000,6,126000.0,63.0,63.0,0,0,04/MAY/2010,63.0,63.0,2617687800,63.0
300,VLL.N0000,VIDULLANKA PLC,18300,2016-10-13,5.7,21302,4,121421.2,5.7,5.6,0,0,10/JUN/2005,5.7,5.7,4258776603,5.6
1848,VONE.N0000,VALLIBEL ONE PLC,1,2016-10-13,21.2,80826,22,1712492.6,21.8,20.8,-0.1,-0.469483568075117370892,08/JUL/2011,21.2,21.3,23035058283.6,21.5
473,VPEL.N0000,VALLIBEL POWER ERATHNA PLC,499,2016-10-13,8.5,247845,52,2106946.8,8.6,8.5,-0.1,-1.162790697674418604651,16/MAY/2006,8.5,8.6,6350432713.5,8.6
533,WAPO.N0000,GUARDIAN CAPITAL PARTNERS PLC,1500,2016-10-13,41,7974,4,341864.2,43.5,41.0,0.2,0.4901960784313725490196,21/NOV/2001,41.0,40.8,1059186128,43.5
148,WATA.N0000,WATAWALA PLANTATIONS PLC,5000,2016-10-13,19,6570,5,124830.0,19.0,19.0,0,0,01/DEC/1997,19.0,19.0,4496666730,19.0
