ID,SYMBOL,NAME,LAST_TRADE_QUANTITY,TRADE_DATE,PRICE,SHAREVOLUME,TRADEVOLUME,TURNOVER,HI_TRADE,LO_TRADE,CHANGE,CHANGE_PERCENTAGE,ISSUE_DATE,CLOSING_PRICE,PREVIOUS_CLOSE,MARKET_CAP,OPEN
2025,AAF.N0000,ASIA ASSET FINANCE PLC,1,2016-10-11,1.6,3621101,17,5793761.6,1.6,1.6,-0.1,-5.882352941176470588235,12/JAN/2012,1.6,1.7,1342732532.8,1.6
118,AAIC.N0000,ASIAN ALLIANCE INSURANCE PLC,25,2016-10-11,23.1,393,17,9071.2,23.3,22.5,-0.4,-1.702127659574468085106,24/NOV/2000,23.1,23.5,8662500000,23.1
204,ABAN.N0000,ABANS ELECTRICALS PLC,9,2016-10-11,120,10,2,1209.9,121.0,120.9,0,0,01/JAN/1984,120.0,120.0,613267200,120.9
3046,ABL.N0000,AMANA BANK PLC,1000,2016-10-11,4,87510,9,341390.0,4.0,3.9,0.1,2.5641025641025641025641,29/JAN/2014,4.0,3.9,5002781068,3.9
160,ACAP.N0000,ASIA CAPITAL PLC,5,2016-10-11,9.7,9103,16,87959.8,9.9,9.6,0.1,1.0416666666666666666666,22/SEP/1994,9.7,9.6,1273900951.5,9.6
472,ACL.N0000,ACL CABLES PLC,2450,2016-10-11,64,50173,29,3204459.6,64.0,62.8,0.4,0.6289308176100628930817,01/JAN/1976,64.0,63.6,7666391040,63.6
554,ACME.N0000,ACME PRINTING & PACKAGING PLC,8000,2016-10-11,7.2,38000,6,273600.0,7.2,7.2,0,0,01/JAN/1956,7.2,7.2,296365773.6,7.2
2065,AEL.N0000,ACCESS ENGINEERING PLC,1000,2016-10-11,27,473641,160,1.27645225E7,27.1,26.6,-0.1,-0.369003690036900369003,27/MAR/2012,27.0,27.1,27000000000,27.1
1845,AFSL.N0000,ABANS FINANCE PLC,48,2016-10-11,45.2,2150,12,91590.7,45.2,40.5,0.8,1.8018018018018018018018,27/JUN/2011,45.2,44.4,2006880000,44.2
2026,AGST.N0000,AGSTAR PLC,3000,2016-10-11,5.6,49146,45,277232.9,5.8,5.6,0.1,1.8181818181818181818181,16/FEB/2012,5.6,5.5,1722147336,5.7
143,AHPL.N0000,ASIAN HOTELS & PROPERTIES PLC,14,2016-10-11,60,12154,10,729310.5,61.8,60.0,-2,-3.225806451612903225806,30/JAN/2004,60.0,62.0,26566518000,61.8
3125,AINV.N0000,ADAM INVESTMENTS PLC,1000,2016-10-11,2.2,1000,1,2200.0,2.2,2.2,0,0,10/JUN/2014,2.2,2.2,988407640,2.2
2846,ALHP.N0000,ANILANA HOTELS AND PROPERTIES PLC,5,2016-10-11,2,1265,8,2525.0,2.0,1.9,0,0,17/JUL/2013,2.0,2.0,986617028,2.0
395,ALLI.N0000,ALLIANCE FINANCE COMPANY PLC,70,2016-10-11,1037,350,11,363046.0,1040.0,1035.0,-3,-0.288461538461538461538,01/JAN/1959,1037.0,1040.0,2519910000,1036.0
151,ALUF.N0000,ALUFAB PLC,455,2016-10-11,45.1,11181,25,507110.9,46.3,45.0,-0.4,-0.879120879120879120879,01/JAN/1981,45.1,45.5,543824820,46.0
3082,ALUM.N0000,ALUMEX PLC,5000,2016-10-11,20.7,33843,16,695591.5,20.8,20.5,0.3,1.4705882352941176470588,31/MAR/2014,20.7,20.4,6195568788,20.5
240,AMSL.N0000,ASIRI  SURGICAL HOSPITAL PLC,200,2016-10-11,13,956,8,12428.0,13.0,13.0,0.2,1.5625,12/NOV/2004,13.0,12.8,6869948085,13.0
406,APLA.N0000,ACL PLASTICS PLC,376,2016-10-11,227,400,2,90800.0,227.0,227.0,-3,-1.304347826086956521739,05/APR/1995,227.0,230.0,956237500,227.0
376,ARPI.N0000,ARPICO FINANCE COMPANY PLC,50,2016-10-11,176,3131,7,549556.0,176.0,175.5,0.5,0.2849002849002849002849,01/JAN/1955,176.0,175.5,1309000000,175.5
250,ASCO.N0000,ASCOT HOLDINGS  PLC,50,2016-10-11,34,4123,9,138692.1,34.0,32.7,0.9,2.7190332326283987915407,01/JAN/1969,34.0,33.1,430356870,33.0
550,ASHO.N0000,LANKA ASHOK LEYLAND PLC,3,2016-10-11,1250,9,3,11119.0,1236.0,1235.0,0,0,01/JAN/1983,1250.0,1250.0,4526053750,1236.0
225,ASIR.N0000,ASIRI HOSPITAL HOLDINGS PLC,1270,2016-10-11,29.3,6750,13,197615.1,29.5,29.1,-0.2,-0.677966101694915254237,01/JUN/1986,29.3,29.5,33329734362.8,29.5
2209,ASIY.N0000,ASIA SIYAKA COMMODITIES PLC,400,2016-10-11,2.4,21400,8,52000.0,2.5,2.4,-0.1,-4,12/SEP/2012,2.4,2.5,624000000,2.5
269,ASPH.N0000,INDUSTRIAL ASPHALTS (CEYLON) PLC,1,2016-10-11,320,1,1,364.0,364.0,364.0,0,0,01/JAN/1978,320.0,320.0,213299840,364.0
364,ATL.N0000,AMANA TAKAFUL  PLC,3000,2016-10-11,0.9,8504,8,7653.5,0.9,0.8,0.1,12.5,27/NOV/2006,0.9,0.8,1620001166.4,0.9
3575,ATLL.N0000,AMANA TAKAFUL LIFE PLC,3,2016-10-11,1.7,3,1,4.8,1.6,1.6,0,0,18/AUG/2016,1.7,1.7,850000000,1.6
306,AUTO.N0000,THE AUTODROME PLC,4,2016-10-11,75,104,2,7800.0,75.0,75.0,0,0,01/JAN/1975,75.0,75.0,900000000,75.0
2188,BERU.N0000,BERUWALA RESORTS PLC,5710,2016-10-11,1.3,6210,2,8073.0,1.3,1.3,0,0,04/JUL/2012,1.3,1.3,780000000,1.3
188,BFL.N0000,BAIRAHA FARMS PLC,1000,2016-10-11,191.1,84711,137,1.6145383E7,194.0,190.0,1.1,0.5789473684210526315789,05/DEC/1994,191.1,190.0,3057600000,190.0
3495,BFN.N0000,ORIENT FINANCE PLC,10,2016-10-11,15.7,13460,23,213724.2,16.0,15.7,-0.3,-1.875,30/JUN/2011,15.7,16.0,2323888409,16.0
1851,BIL.N0000,BROWNS INVESTMENTS PLC,1400,2016-10-11,1.4,124400,6,174160.0,1.4,1.4,0,0,26/JUL/2011,1.4,1.4,5208000000,1.4
1802,BLI.N0000,BIMPUTH FINANCE PLC,100,2016-10-11,63,100,1,6300.0,63.0,63.0,-0.5,-0.787401574803149606299,13/JUN/2011,63.0,63.5,6787200672,63.0
135,BLUE.N0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,44626,2016-10-11,2.1,216006,14,453612.6,2.1,2.1,0,0,31/MAR/1992,2.1,2.1,433863742.2,2.1
301,BLUE.X0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,76089,2016-10-11,0.6,185699,11,111419.4,0.6,0.6,0,0,31/MAR/1992,0.6,0.6,116780173.8,0.6
189,BOGA.N0000,BOGALA GRAPHITE LANKA PLC,100,2016-10-11,16.9,140841,158,2358626.2,17.0,16.2,0.7,4.3209876543209876543209,08/MAY/1992,16.9,16.2,1599296077.6,16.4
34,BOPL.N0000,BOGAWANTALAWA TEA ESTATES PLC,7,2016-10-11,9.9,22,2,215.6,9.8,9.8,0,0,08/DEC/1995,9.9,9.9,829125000,9.8
3080,BRR.N0000,BANSEI ROYAL RESORTS HIKKADUWA PLC,86,2016-10-11,10.5,25189,15,254486.0,11.0,10.1,0.5,5,27/MAR/2014,10.5,10.0,564144000,10.1
25,BRWN.N0000,BROWN & COMPANY PLC,6830,2016-10-11,91.5,10352,8,947623.7,91.7,91.5,-0.2,-0.218102508178844056706,01/JAN/1970,91.5,91.7,6485062500,91.7
165,BUKI.N0000,BUKIT DARAH PLC,2,2016-10-11,264.9,52,4,13980.0,269.0,265.0,0,0,01/JAN/1970,264.9,264.9,27019800000,269.0
22,CABO.N0000,CARGO BOAT DEVELOPMENT COMPANY PLC,648,2016-10-11,99,648,1,64152.0,99.0,99.0,3,3.125,01/JAN/1981,99.0,96.0,1009803564,99.0
258,CARE.N0000,PRINTCARE  PLC,1,2016-10-11,38.3,831,7,31829.0,40.0,38.3,0,0,02/MAY/1995,38.3,38.3,3292523461,38.3
551,CARG.N0000,CARGILLS (CEYLON) PLC,20,2016-10-11,184,5020,5,923680.0,184.0,184.0,0,0,01/JAN/1946,184.0,184.0,41216000000,184.0
426,CCS.N0000,CEYLON COLD STORES PLC,7,2016-10-11,625.1,169,8,106339.8,639.0,621.0,-16.6,-2.586878603708898239052,01/JAN/1970,625.1,641.7,59409504000,639.0
1630,CDB.N0000,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,1798,2016-10-11,80,20459,17,1634925.0,80.0,79.1,1,1.2658227848101265822784,06/OCT/2010,80.0,79.0,3703937840,79.1
447,CFIN.N0000,CENTRAL FINANCE COMPANY PLC,1500,2016-10-11,113,6596,10,745329.5,113.0,112.5,-0.3,-0.264783759929390997352,01/JAN/1969,113.0,113.3,24493754344,113.0
1795,CFL.N0000,CHILAW FINANCE PLC,45,2016-10-11,20.6,15105,9,343158.5,22.8,20.5,0.5,2.4875621890547263681592,26/MAY/2011,20.6,20.1,698367542.2,22.7
525,CFLB.N0000,THE COLOMBO FORT LAND & BUILDING PLC,400,2016-10-11,21,76635,18,1609385.0,21.1,21.0,-0.1,-0.473933649289099526066,01/JAN/1970,21.0,21.1,3780000000,21.1
235,CFT.N0000,CEYLON & FOREIGN TRADES PLC,19475,2016-10-11,6.5,341700,14,2220050.0,6.5,6.3,0.2,3.1746031746031746031746,01/JAN/1979,6.5,6.3,911274000,6.5
528,CFVF.N0000,FIRST CAPITAL HOLDINGS PLC,200,2016-10-11,32.4,16660,27,541795.0,33.0,32.2,-0.2,-0.613496932515337423312,22/AUG/1994,32.4,32.6,3280500000,32.6
264,CHL.N0000,CEYLON HOSPITALS PLC (DURDANS),1,2016-10-11,100,143,2,14303.0,103.0,100.0,0,0,14/NOV/2003,100.0,100.0,2552727200,100.0
383,CHOT.N0000,CEYLON HOTELS CORPORATION PLC,200,2016-10-11,22.7,200,1,4540.0,22.7,22.7,-0.3,-1.304347826086956521739,01/JAN/1967,22.7,23.0,3900432062.7,22.7
