AAL;41.4;41.96;41.16;41.72;3318209;138184963
AAME;3.9;4;3.9;3.9;2913;11552
AAON;34.25;34.75;34.05;34.4;73623;2531381
AAPL;144.29;144.52;143.45;143.66;18677538;2688498684
AAXJ;63.3;63.3;63.06;63.22;392116;24778714
ABAX;47.35;47.39;46.63;47.32;49123;2312907
ABCB;44.2;46.15;43.9;44.7;84335;3754138
ABCO;46.9;47.05;46.55;47;280631;13162219
ABEO;5.2;5.2;5.025;5.15;245509;1256255
ABGOF;0.0399;0.04;0.0399;0.04;18100;723
ABIO;2.4;2.45;2.35;2.45;11891;28355
ABMD;125.5;125.9;124.095;125.54;234827;29386960
ABTL;12.21;12.8;12.06;12.52;133107;1649841
ABUS;3.3;3.35;3.2132;3.25;111287;364564
ABVG;0.0003;0.0004;0.0003;0.0004;10359165;3225
ACAD;32.65;32.77;32.02;32.41;1487278;48218135
ACET;14.82;15.14;14.67;15.06;189779;2840731
ACFN;0.34;0.35;0.3201;0.34;53814;18568
ACGL;94.72;94.89;94.02;94.38;239939;22669543
ACGX;0.0021;0.0022;0.0015;0.0017;75660675;131037
ACHN;3.81;3.86;3.7;3.85;1718224;6491798
ACIA;56.36;57.6;56.0301;57.03;591601;33505140
ACLS;17.8;18.35;17.65;18.1;145746;2624870
ACOR;17.05;17.4125;16.75;17.05;1310355;22355318
ACRX;3;3;2.85;2.85;250479;724133
ACTA;14.05;14.1;13.95;14;123684;1734795
ACTG;5.45;5.5;5.3;5.4;108642;588700
ACUR;0.6055;0.6055;0.53;0.54;6808;3695
ACWI;63.14;63.28;63.005;63.16;1595879;100785817
ACXM;27.8;28.22;27.54;28.22;141735;3975356
ADAP;6.01;6.025;5.4;5.5;459002;2591549
ADAT;2.21;2.23;2;2.23;8587;18429
ADBE;129.86;130.22;129.16;130.15;1517919;197215158
ADDYY;94.23;94.24;93.86;94.01;35730;3360160
ADHD;1.05;1.25;1.03;1.22;2841734;3193557
ADI;80.11;80.66;79.59;80.32;2901769;232418113
ADP;101.89;101.91;101.45;101.75;868783;88367959
ADRD;20.91;20.91;20.781;20.839;2113;44074
ADRE;36.69;36.7196;36.5092;36.5092;3882;142142
ADRNY;20.93;20.968;20.74;20.8;28368;591748
ADSK;83.49;84.76;82.7;84.07;1478161;124136122
ADTM;0.0001;0.0002;0.0001;0.0001;6416000;1023
ADTN;19.85;20.05;19.7;19.95;180762;3604886
ADVM;2.65;2.7;2.55;2.575;152640;400016
ADXS;7.84;7.95;7.59;7.78;479257;3699797
AEGN;22.78;22.98;22.57;22.89;90424;2060424
AEHR;3.84;4.25;3.836;4.11;282216;1157229
AEIS;66.68;67.06;65.49;66.66;290126;19280680
AERI;43.3;44.05;43.05;43.65;215427;9388520
AERN;0.0001;0.0001;0.0001;0.0001;300000;30
AEZS;2.95;3;2.9;2.9;120523;353447
AFAM;47.25;47.85;46.85;47.7;73630;3501282
AFFY;0.053;0.053;0.051;0.051;10500;546
AFLYY;7.48;7.532;7.48;7.53;1002;7538
AFSI;20.08;20.19;19.24;19.25;3872425;76265059
AGEN;3.46;3.4746;3.27;3.35;1246348;4185997
AGGFF;0.058;0.058;0.058;0.058;4000;232
AGII;66.2;66.25;65.5;66.15;39064;2576110
AGNC;20.17;20.17;19.99;20.09;2995635;60170521
AGTK;0.024;0.024;0.0225;0.02269;1991810;45858
AHPI;1.92;2.07;1.92;1.98;31196;62040
AIA;52.96;52.96;52.72;52.7775;37958;2004517
AINV;6.51;6.67;6.5;6.66;1552591;10248475
AIRM;42.95;43;42.9;42.9;2917634;125309416
AIRT;19.05;20.35;19.05;19.65;3893;76854
AKAM;59.07;59.7;58.39;58.73;1675718;98398365
AKAO;23.81;24.0882;23.17;23.43;490495;11558889
AKRX;24;25.57;24;25.22;2793068;70266499
AKZOY;28.15;28.19;27.99;28.045;29783;835932
