AAL;44.79;45.35;43.83;43.96;9020205;401855100
AAME;3.8;4;3.8;3.8;1577;6112
AAON;35.15;35.2;34.2;34.3;78598;2721023
AAPL;141.6;142.15;141.01;141.79;18581378;2630281305
AAXJ;62.86;62.87;62.57;62.86;702567;44053946
AAXN;23.27;23.35;22.34;22.42;793091;17910760
ABAX;47.72;47.78;46.55;47.05;78823;3711591
ABCB;44.65;44.8;43.95;44;57391;2537963
ABCO;47.55;47.75;46.95;47.15;148974;7049314
ABEO;4.85;5;4.75;4.9;132910;642963
ABGOF;0.04;0.04;0.031;0.031;2000;71
ABIO;2.35;2.4;2.3;2.3;15400;36082
ABMD;125.87;126.17;125.27;125.48;120903;15201173
ABTL;11.98;12.0299;11.84;11.86;56206;669491
ABUS;3.35;3.4;3.2;3.3;363958;1193828
ABVG;0.0004;0.0005;0.00028;0.0004;344619156;114937
ACAD;33.06;33.58;32.87;33.09;681114;22576258
ACET;15.37;15.45;14.8;14.89;119544;1785833
ACFN;0.36971;0.3715;0.3411;0.37;33756;12461
ACGL;94.83;94.95;93.84;93.94;134544;12657694
ACGX;0.0023;0.0024;0.002;0.0022;24475834;54299
ACHN;3.69;3.715;3.61;3.62;832896;3027901
ACIA;54.43;54.75;53.25;53.89;747093;40279636
ACLS;18.05;18.05;17.75;17.8;63904;1141120
ACMTA;21;21;21;21;6000;126000
ACOR;17;17.15;16.8;16.9;937866;15884142
ACRX;2.75;2.8;2.5;2.65;528999;1396525
ACTA;13.95;14.075;13.85;13.95;108509;1515993
ACTG;5.4;5.45;5.1486;5.2;174862;906830
ACTL;0.0002;0.0002;0.0001;0.0002;2100000;360
ACUR;0.6;0.61;0.57;0.59;4281;2549
ACWI;63.11;63.12;62.86;63.01;1140959;71856744
ACXM;28.06;28.29;27.66;27.71;132617;3698208
ADAP;5.8;5.87;5.6;5.77;170682;977905
ADAT;1.94;1.99;1.94;1.97;7755;15315
ADBE;129.96;129.96;128.72;129.415;1727545;223442202
ADDYY;93.44;94.56;93.39;94.56;25216;2368762
ADHD;1.12;1.15;1.1;1.11;111886;125450
ADI;78.27;78.45;76.63;76.86;2400048;185257685
ADP;101.73;102.1;101.49;101.96;1352310;137770454
ADRA;29.18;29.18;28.9801;28.9801;4788;138960
ADRD;20.82;20.8623;20.8195;20.8417;1305;27191
ADRE;36.4;36.47;36.2501;36.261;4611;167894
ADRNY;20.23;20.47;20.23;20.45;311133;6350654
ADSK;85.87;86.65;84.99;85.63;2086156;178866103
ADTM;0.0002;0.0003;0.0002;0.0003;1373565;345
ADTN;19.9;19.95;19.55;19.6;190916;3757128
ADVM;2.7;2.8;2.6;2.65;154666;421872
ADXS;7.81;7.88;7.55;7.76;512939;3951343
AEGN;23.3;23.3;22.5;22.61;136606;3104210
AEGY;0.0001;0.0001;0.0001;0.0001;3000000;300
AEHR;4;4.08;3.8389;4.05;193806;763496
AEIS;66.38;66.57;65.2;65.35;193105;12660559
AERI;43.15;43.25;42.4;42.55;254786;10877452
AEZS;3;3.037;2.9;2.95;120977;359575
AFAM;47.2;47.25;46.55;47.05;68469;3219727
AFFY;0.051;0.053;0.051;0.051;19446;1002
AFLYY;7.92;8.0099;7.85;7.9;12232;96961
AFSI;16;16.62;15.31;16.19;8666597;139745609
AGEN;3.21;3.34;3.21;3.24;691345;2266719
AGII;66.3;66.35;64.6;65.6;32256;2120637
AGNC;20.1;20.18;20.06;20.09;2062437;41487018
AGTK;0.0205;0.0215;0.0188;0.01895;4177295;83240
AHFI;0.001;0.001;0.001;0.001;1000;1
AHPI;2;2;1.97;1.97;3592;7095
AIA;52.5;52.5;52.2265;52.41;17422;911268
AINV;6.68;6.69;6.61;6.64;643981;4271457
AIRM;42.9;43.075;42.9;43;1140825;49027616
AIRT;19.35;19.35;19.35;19.35;100;1935
AKAM;58.83;59.09;58.54;58.895;1229059;72312458
AKAO;21.57;22.1399;20.67;20.73;663783;13984505
AKRX;32.77;33.18;32.61;33.005;4698139;154515706
AKSY;0.0001;0.0001;0.0001;0.0001;201;0
AKZOY;28.05;28.06;27.66;27.9;24620;684179
ALCO;27.85;27.9;27.4;27.4;3030;83500
ALGN;115.16;115.5;113.93;114.12;348832;39867889
ALGT;153.8;157.85;153.8;155.05;80264;12500086
ALKS;56.97;57.7;56.8;56.95;398077;22790421
ALLT;4.77;4.8;4.77;4.79;1426608;6819639
ALNY;49.06;50.1;48.54;49.18;636885;31467824
ALOG;72.7;72.9;72.05;72.05;46371;3359459
ALOT;14.6;14.95;14.6;14.7;4401;65030
ALQA;0.468;0.468;0.4118;0.4173;505438;216375
ALRM;30.75;31.18;30.71;31.1;196469;6086359
ALSK;1.98;2.13;1.9373;2.12;694682;1423442
ALVRQ;0.0027;0.0027;0.0027;0.0027;670;2
ALXN;117.09;117.73;114.32;114.57;1020590;117500298
AMAG;22.9;23.2;22.65;22.75;612569;14020336
AMAT;38.35;38.37;37.63;37.77;6143835;232680722
AMBA;52.88;52.9677;51.38;51.64;691972;36003670
AMBS;0.04916;0.04916;0.03998;0.04;279275;11408
AMCN;3.13;3.3;3.05;3.1708;445970;1432201
AMD;12.94;13.1;12.74;12.77;35618329;458794858
AMDA;0.381;0.4;0.3751;0.384;189009;73190
AMED;52.83;52.95;52.27;52.51;185517;9746813
AMGN;164.08;164.1;162.16;163.06;1753922;285783097
AMKR;11.22;11.4;11.16;11.2;1092733;12281109
AMLM;0.038;0.038;0.035;0.038;58550;2168
AMNB;37.075;37.1;36.35;36.35;10037;368162
AMOT;21.3;21.56;20.79;21.03;15284;321351
AMPH;14.63;14.83;14.45;14.76;134737;1976348
AMRB;14.73;14.921;14.73;14.8;28400;421379
AMRI;14.43;15.71;14.041;15.2;1053970;15857115
AMRN;3.13;3.14;3.08;3.1;599864;1864675
AMRS;0.48;0.5975;0.48;0.58;4386934;2365256
AMSC;6.89;7.07;6.84;7.03;65919;458772
AMSWA;10.8;10.8;10.4;10.57;44130;466979
AMWD;89.25;89.25;88;88.75;76443;6770764
AMZN;903.09;904.09;895.2501;896.46;1897125;1707035239
ANAS;0.00281;0.00281;0.00281;0.00281;240;1
ANAT;115.05;115.9799;114.11;115.05;19130;2200079
ANDE;38.75;38.85;37.95;38;65989;2530334
ANDR;0.044;0.048;0.044;0.048;17200;774
ANGO;15.71;15.82;15.47;15.51;314746;4895697
ANIK;43.12;43.3386;42.8901;43.16;78655;3395557
ANIP;50.86;50.93;49.68;50.55;68837;3469724
ANSS;106.06;106.91;104.6501;105.56;189714;20114255
ANTH;0.399;0.41;0.39;0.3913;988588;395414
AOBC;21.88;21.99;21.18;21.19;1218615;26139769
AOIFF;1.668;1.668;1.6531;1.6531;6950;11521
APDN;1.6;1.6;1.55;1.55;18242;28608
APEI;22.3;22.3;21.2;21.325;45556;980117
APOG;57.4;58.69;57;58.08;327537;19043298
APPS;0.93;0.94;0.91;0.9298;49889;46148
