COMPANY NAME,,SYMBOL,,PRICE,,TRADE ,,SHARE VOLUME,,,,CHANGE_PERCENTAGE,
,,,,,,,,,,CHANGE,,,
,,,,,,,,,,,,,-2.416666666666666666666
,ABANS ELECTRICALS PLC,,ABAN.N0000,,117.1,,1,,10,,-2.9,,
,,,,,,,,,,,,,-2.5
,ABANS ELECTRICALS PLC,,ABAN.N0000,,117.0,,1,,10,,-3,,
,,,,,,,,,,,,,1.5486725663716814159292
,ABANS FINANCE PLC,,AFSL.N0000,,45.9,,1,,95,,0.7,,
,,,,,,,,,,,,,1.3274336283185840707964
,ABANS FINANCE PLC,,AFSL.N0000,,45.8,,1,,58,,0.6,,
,,,,,,,,,,,,,-0.442477876106194690265
,ABANS FINANCE PLC,,AFSL.N0000,,45.0,,2,,2,,-0.2,,
,,,,,,,,,,,,,-0.370370370370370370370
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.9,,4,,6450,,-0.1,,
,,,,,,,,,,,,,-0.740740740740740740740
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.8,,47,,52274,,-0.2,,
,,,,,,,,,,,,,-1.111111111111111111111
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.7,,44,,230246,,-0.3,,
,,,,,,,,,,,,,-1.481481481481481481481
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.6,,1,,1,,-0.4,,
,,,,,,,,,,,,,0
,ACL CABLES PLC,,ACL.N0000,,64.0,,5,,1950,,0,,
,,,,,,,,,,,,,-0.78125
,ACL CABLES PLC,,ACL.N0000,,63.5,,4,,2700,,-0.5,,
,,,,,,,,,,,,,-1.5625
,ACL CABLES PLC,,ACL.N0000,,63.0,,3,,494,,-1,,
,,,,,,,,,,,,,-1.71875
,ACL CABLES PLC,,ACL.N0000,,62.9,,1,,40,,-1.1,,
,,,,,,,,,,,,,-1.875
,ACL CABLES PLC,,ACL.N0000,,62.8,,1,,100,,-1.2,,
,,,,,,,,,,,,,-2.03125
,ACL CABLES PLC,,ACL.N0000,,62.7,,11,,10966,,-1.3,,
,,,,,,,,,,,,,1.3215859030837004405286
,ACL PLASTICS PLC,,APLA.N0000,,230.0,,31,,19620,,3,,
,,,,,,,,,,,,,1.2775330396475770925110
,ACL PLASTICS PLC,,APLA.N0000,,229.9,,2,,2051,,2.9,,
,,,,,,,,,,,,,0
,ACME PRINTING & PACKAGING PLC,,ACME.N0000,,7.2,,2,,10020,,0,,
,,,,,,,,,,,,,0
,ADAM CAPITAL PLC,,PCHH.N0000,,1.7,,1,,200,,0,,
,,,,,,,,,,,,,-4.5
,AGALAWATTE PLANTATIONS PLC,,AGAL.N0000,,19.1,,4,,1411,,-0.9,,
,,,,,,,,,,,,,0
,AGSTAR PLC,,AGST.N0000,,5.6,,1,,1,,0,,
,,,,,,,,,,,,,0
,AITKEN SPENCE HOTEL HOLDINGS PLC,,AHUN.N0000,,49.6,,4,,802,,0,,
,,,,,,,,,,,,,-1.008064516129032258064
,AITKEN SPENCE HOTEL HOLDINGS PLC,,AHUN.N0000,,49.1,,3,,1000,,-0.5,,
