COMPANY NAME,,SYMBOL,,PRICE,,TRADE ,,SHARE VOLUME,,,,CHANGE_PERCENTAGE,
,,,,,,,,,,CHANGE,,,
,,,,,,,,,,,,,-1.666666666666666666666
,ABANS ELECTRICALS PLC,,ABAN.N0000,,118.0,,4,,1701,,-2,,
,,,,,,,,,,,,,-2.083333333333333333333
,ABANS ELECTRICALS PLC,,ABAN.N0000,,117.5,,8,,3300,,-2.5,,
,,,,,,,,,,,,,-2.416666666666666666666
,ABANS ELECTRICALS PLC,,ABAN.N0000,,117.1,,1,,10,,-2.9,,
,,,,,,,,,,,,,-2.5
,ABANS ELECTRICALS PLC,,ABAN.N0000,,117.0,,8,,2289,,-3,,
,,,,,,,,,,,,,0
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.7,,3,,2350,,0,,
,,,,,,,,,,,,,-0.374531835205992509363
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.6,,42,,164426,,-0.1,,
,,,,,,,,,,,,,-0.749063670411985018726
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.5,,118,,375375,,-0.2,,
,,,,,,,,,,,,,-1.123595505617977528089
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.4,,12,,14500,,-0.3,,
,,,,,,,,,,,,,0.7949125596184419713831
,ACL CABLES PLC,,ACL.N0000,,63.4,,2,,310,,0.5,,
,,,,,,,,,,,,,0.1589825119236883942766
,ACL CABLES PLC,,ACL.N0000,,63.0,,10,,13840,,0.1,,
,,,,,,,,,,,,,-0.158982511923688394276
,ACL CABLES PLC,,ACL.N0000,,62.8,,1,,150,,-0.1,,
,,,,,,,,,,,,,-0.317965023847376788553
,ACL CABLES PLC,,ACL.N0000,,62.7,,2,,35,,-0.2,,
,,,,,,,,,,,,,-0.476947535771065182829
,ACL CABLES PLC,,ACL.N0000,,62.6,,2,,2615,,-0.3,,
,,,,,,,,,,,,,0
,ACL PLASTICS PLC,,APLA.N0000,,230.0,,11,,13420,,0,,
,,,,,,,,,,,,,-0.043478260869565217391
,ACL PLASTICS PLC,,APLA.N0000,,229.9,,7,,62,,-0.1,,
,,,,,,,,,,,,,-0.869565217391304347826
,ACL PLASTICS PLC,,APLA.N0000,,228.0,,16,,43027,,-2,,
,,,,,,,,,,,,,1.3888888888888888888888
,ACME PRINTING & PACKAGING PLC,,ACME.N0000,,7.3,,2,,57357,,0.1,,
,,,,,,,,,,,,,0
,ADAM CAPITAL PLC,,PCHH.N0000,,1.7,,24,,299050,,0,,
,,,,,,,,,,,,,0
,AGSTAR PLC,,AGST.N0000,,5.6,,1,,1,,0,,
,,,,,,,,,,,,,-1.785714285714285714285
,AGSTAR PLC,,AGST.N0000,,5.5,,2,,110,,-0.1,,
,,,,,,,,,,,,,-3.571428571428571428571
,AGSTAR PLC,,AGST.N0000,,5.4,,1,,1000,,-0.2,,
,,,,,,,,,,,,,1.2269938650306748466257
,AITKEN SPENCE HOTEL HOLDINGS PLC,,AHUN.N0000,,49.5,,1,,7,,0.6,,
,,,,,,,,,,,,,-0.204498977505112474437
