COMPANY NAME,,SYMBOL,,PRICE,,TRADE ,,SHARE VOLUME,,,,CHANGE_PERCENTAGE,
,,,,,,,,,,CHANGE,,,
,,,,,,,,,,,,,0.8333333333333333333333
,ABANS ELECTRICALS PLC,,ABAN.N0000,,121.0,,1,,9,,1,,
,,,,,,,,,,,,,0.75
,ABANS ELECTRICALS PLC,,ABAN.N0000,,120.9,,1,,1,,0.9,,
,,,,,,,,,,,,,1.8018018018018018018018
,ABANS FINANCE PLC,,AFSL.N0000,,45.2,,4,,150,,0.8,,
,,,,,,,,,,,,,-0.450450450450450450450
,ABANS FINANCE PLC,,AFSL.N0000,,44.2,,3,,530,,-0.2,,
,,,,,,,,,,,,,-0.675675675675675675675
,ABANS FINANCE PLC,,AFSL.N0000,,44.1,,1,,442,,-0.3,,
,,,,,,,,,,,,,-0.900900900900900900900
,ABANS FINANCE PLC,,AFSL.N0000,,44.0,,2,,71,,-0.4,,
,,,,,,,,,,,,,-8.558558558558558558558
,ABANS FINANCE PLC,,AFSL.N0000,,40.6,,1,,100,,-3.8,,
,,,,,,,,,,,,,-8.783783783783783783783
,ABANS FINANCE PLC,,AFSL.N0000,,40.5,,1,,857,,-3.9,,
,,,,,,,,,,,,,0
,ACCESS ENGINEERING PLC,,AEL.N0000,,27.1,,4,,1500,,0,,
,,,,,,,,,,,,,-0.369003690036900369003
,ACCESS ENGINEERING PLC,,AEL.N0000,,27.0,,57,,343406,,-0.1,,
,,,,,,,,,,,,,-0.738007380073800738007
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.9,,62,,75625,,-0.2,,
,,,,,,,,,,,,,-1.107011070110701107011
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.8,,21,,18110,,-0.3,,
,,,,,,,,,,,,,-1.476014760147601476014
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.7,,14,,12500,,-0.4,,
,,,,,,,,,,,,,-1.845018450184501845018
,ACCESS ENGINEERING PLC,,AEL.N0000,,26.6,,2,,22500,,-0.5,,
,,,,,,,,,,,,,0.6289308176100628930817
,ACL CABLES PLC,,ACL.N0000,,64.0,,11,,42360,,0.4,,
,,,,,,,,,,,,,0.4716981132075471698113
,ACL CABLES PLC,,ACL.N0000,,63.9,,2,,252,,0.3,,
,,,,,,,,,,,,,0
,ACL CABLES PLC,,ACL.N0000,,63.6,,3,,93,,0,,
,,,,,,,,,,,,,-0.471698113207547169811
,ACL CABLES PLC,,ACL.N0000,,63.3,,4,,28,,-0.3,,
,,,,,,,,,,,,,-0.628930817610062893081
,ACL CABLES PLC,,ACL.N0000,,63.2,,5,,5048,,-0.4,,
,,,,,,,,,,,,,-0.943396226415094339622
,ACL CABLES PLC,,ACL.N0000,,63.0,,3,,1892,,-0.6,,
,,,,,,,,,,,,,-1.257861635220125786163
,ACL CABLES PLC,,ACL.N0000,,62.8,,1,,500,,-0.8,,
,,,,,,,,,,,,,-1.304347826086956521739
,ACL PLASTICS PLC,,APLA.N0000,,227.0,,2,,400,,-3,,
,,,,,,,,,,,,,0
